question_id,local_question,en_question,local_answer_valid,en_answer_valid,country,control_prompts,persona_prompts,language_prompts
Al-en-01,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,What is a common snack for preschool kids in Algeria?,"['شطائر الخبز بالمربى', 'خبز بالمربى والزبدة', 'هلالية', 'كرواسان', 'حليب', 'الحليب', 'اللمجة', 'لمجة']","['jam sandwiches', 'jam and butter sandwiches', 'croissant', 'milk', 'snack']",Algeria,What is a common snack for preschool kids in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what is a common snack for preschool kids in Algeria? Provide a single answer without any explanations.",ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟ Provide a single answer without any explanations.
Al-en-02,ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟,What is a popular food to go with beer in Algeria?,[],[],Algeria,What is a popular food to go with beer in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what is a popular food to go with beer in Algeria? Provide a single answer without any explanations.",ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟ Provide a single answer without any explanations.
Al-en-04,ما هي الفاكهة الأكثر شعبية في الجزائر؟,What is the most popular fruit in Algeria?,"['البرتقال', 'التمر', 'الموز', 'البطيخ']","['orange', 'dates', 'bananas', 'watermelon']",Algeria,What is the most popular fruit in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what is the most popular fruit in Algeria? Provide a single answer without any explanations.",ما هي الفاكهة الأكثر شعبية في الجزائر؟ Provide a single answer without any explanations.
Al-en-06,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,What is a common school cafeteria food in Algeria?,['العدس'],"['lentils', 'lentil']",Algeria,What is a common school cafeteria food in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what is a common school cafeteria food in Algeria? Provide a single answer without any explanations.",ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟ Provide a single answer without any explanations.
Al-en-08,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,What are the most commonly eaten snacks at shopping malls in Algeria?,"['بيتزا', 'البيتزا', 'همبرقر', 'برغر', 'شوارمة', 'الآيس كريم', 'سندويتش']","['pizza', 'hamburger', 'burger', 'shawarma', 'ice cream', 'sandwich']",Algeria,What are the most commonly eaten snacks at shopping malls in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what are the most commonly eaten snacks at shopping malls in Algeria? Provide a single answer without any explanations.",ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟ Provide a single answer without any explanations.
Al-en-09,ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟,What is a popular snack at an amusement park in Algeria?,"['غزل البنات', 'الآيس كريم', 'الكعك المقلي']","['cotton candy', 'ice cream', 'donuts']",Algeria,What is a popular snack at an amusement park in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what is a popular snack at an amusement park in Algeria? Provide a single answer without any explanations.",ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟ Provide a single answer without any explanations.
Al-en-16,في أي سن يبدأ الأطفال الذهاب للروضة في الجزائر؟ (استعمل الأرقام العربية فقط (مثلاً، 12.),"At what age do kids start preschool in Algeria? (Provide Arabic numerals (e.g., 12) only.)","['3', '4', '1']","['3', '4', '1']",Algeria,"At what age do kids start preschool in Algeria? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","As a person from Algeria, at what age do kids start preschool in Algeria? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.",في أي سن يبدأ الأطفال الذهاب للروضة في الجزائر؟ (استعمل الأرقام العربية فقط (مثلاً، 12.) Provide a single answer without any explanations.
Al-en-17,ما هو النشاط الرياضي المفضل بعد المدرسة لتلاميذ الابتدائي في الجزائر؟,What is a popular afterschool sport for elementary schools in Algeria?,"['كرة القدم', 'الركض']","['soccer', 'football', 'running']",Algeria,What is a popular afterschool sport for elementary schools in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what is a popular afterschool sport for elementary schools in Algeria? Provide a single answer without any explanations.",ما هو النشاط الرياضي المفضل بعد المدرسة لتلاميذ الابتدائي في الجزائر؟ Provide a single answer without any explanations.
Al-en-18,ما هي المادة التي يتلقى فيها أكثر تلاميذ الابتدائي دروسا خصوصية؟ ,For which subject do elementary students get private education in Algeria?,['الرياضيات'],"['mathematics', 'math']",Algeria,For which subject do elementary students get private education in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, for which subject do elementary students get private education in Algeria? Provide a single answer without any explanations.",ما هي المادة التي يتلقى فيها أكثر تلاميذ الابتدائي دروسا خصوصية؟  Provide a single answer without any explanations.
Al-en-19,ما هي اللغة الثانية الشائعة لطلاب الثانوية في الجزائر؟,What is a popular second language for high school students in Algeria?,['الفرنسية'],['french'],Algeria,What is a popular second language for high school students in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what is a popular second language for high school students in Algeria? Provide a single answer without any explanations.",ما هي اللغة الثانية الشائعة لطلاب الثانوية في الجزائر؟ Provide a single answer without any explanations.
