question_id,local_question,en_question,local_answer_valid,en_answer_valid,country,control_prompts,persona_prompts,language_prompts
Al-en-01,Ποιο είναι ένα συνηθισμένο σνακ για παιδιά προσχολικής ηλικίας στην Ελλάδα;,What is a common snack for preschool kids in Greece?,"['τοστ', 'κουλούρι', 'Greek sesame bread rings', 'φρούτο', 'μπισκότα', 'σοκολάτα']","['toast', 'koulouri', 'fruit', 'biscuits', 'chocolate']",Greece,What is a common snack for preschool kids in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is a common snack for preschool kids in Greece? Provide a single answer without any explanations.",Ποιο είναι ένα συνηθισμένο σνακ για παιδιά προσχολικής ηλικίας στην Ελλάδα; Provide a single answer without any explanations.
Al-en-02,Ποιο είναι ένα δημοφιλές φαγητό που συνοδεύει τη μπύρα στην Ελλάδα;,What is a popular food to go with beer in Greece?,"['σουβλάκι', 'λουκάνικο', 'πατατάκια']","['souvlaki', 'sausage', 'potato chips']",Greece,What is a popular food to go with beer in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is a popular food to go with beer in Greece? Provide a single answer without any explanations.",Ποιο είναι ένα δημοφιλές φαγητό που συνοδεύει τη μπύρα στην Ελλάδα; Provide a single answer without any explanations.
Al-en-04,Ποιο είναι το πιο δημοφιλές φρούτο στην Ελλάδα;,What is the most popular fruit in Greece?,"['καρπούζι', 'μήλο', 'πεπόνι', 'μανταρίνι', 'πορτοκάλι', 'μπανάνα']","['watermelon', 'apple', 'melon', 'mandarin', 'orange', 'banana']",Greece,What is the most popular fruit in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is the most popular fruit in Greece? Provide a single answer without any explanations.",Ποιο είναι το πιο δημοφιλές φρούτο στην Ελλάδα; Provide a single answer without any explanations.
Al-en-06,Ποιο είναι ένα συνηθισμένο φαγητό στα σχολεία στην Ελλάδα;,What is a common school cafeteria food in Greece?,"['σάντουιτς', 'τυρόπιτα', 'κρουασάν', 'κουλούρι', 'τοστ', 'σφολιάτες']","['sandwich', 'cheese pie', 'croissant', 'greek sesame bread rings', 'toast', 'puff pastries']",Greece,What is a common school cafeteria food in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is a common school cafeteria food in Greece? Provide a single answer without any explanations.",Ποιο είναι ένα συνηθισμένο φαγητό στα σχολεία στην Ελλάδα; Provide a single answer without any explanations.
Al-en-08,Ποια είναι τα πιο συνηθισμένα σνακ που καταναλώνονται στα εμπορικά κέντρα στην Ελλάδα;,What are the most commonly eaten snacks at shopping malls in Greece?,"['σουβλάκι', 'πίτσα', 'κρουασάν', 'ποπκόρν', 'πατατάκια', 'πατάτες', 'χάμπουργκερ', 'μπέργκερ', 'κοτομπουκιές']","['souvlaki', 'pizza', 'croissant', 'popcorn', 'potato chips', 'french fries', 'burger', 'chicken nuggets']",Greece,What are the most commonly eaten snacks at shopping malls in Greece? Provide a single answer without any explanations.,"As a person from Greece, what are the most commonly eaten snacks at shopping malls in Greece? Provide a single answer without any explanations.",Ποια είναι τα πιο συνηθισμένα σνακ που καταναλώνονται στα εμπορικά κέντρα στην Ελλάδα; Provide a single answer without any explanations.
Al-en-09,Ποιο είναι ένα δημοφιλές σνακ σε λούνα παρκ στην Ελλάδα;,What is a popular snack at an amusement park in Greece?,"['μαλλί της γριάς', 'club sandwich', 'nachos', 'λουκουμάδες', 'ζαχαρωτά', 'χοτ ντογκ']","['cotton candy', 'club sandwich', 'nachos', 'donuts', 'sweets', 'hot dog']",Greece,What is a popular snack at an amusement park in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is a popular snack at an amusement park in Greece? Provide a single answer without any explanations.",Ποιο είναι ένα δημοφιλές σνακ σε λούνα παρκ στην Ελλάδα; Provide a single answer without any explanations.
Al-en-16,"Σε ποια ηλικία αρχίζουν τα παιδιά το νηπιαγωγείο στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 4).)","At what age do kids start preschool in Greece? (Provide Arabic numerals (e.g., 12) only.)","['4', '5']","['4', '5']",Greece,"At what age do kids start preschool in Greece? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","As a person from Greece, at what age do kids start preschool in Greece? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","Σε ποια ηλικία αρχίζουν τα παιδιά το νηπιαγωγείο στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 4).) Provide a single answer without any explanations."
Al-en-17,Ποιο είναι ένα δημοφιλές απογευματινό άθλημα για τα δημοτικά σχολεία στην Ελλάδα;,What is a popular afterschool sport for elementary schools in Greece?,"['ποδόσφαιρο', 'μπάσκετ', 'βόλεϊ']","['soccer', 'football', 'basketball', 'volleyball']",Greece,What is a popular afterschool sport for elementary schools in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is a popular afterschool sport for elementary schools in Greece? Provide a single answer without any explanations.",Ποιο είναι ένα δημοφιλές απογευματινό άθλημα για τα δημοτικά σχολεία στην Ελλάδα; Provide a single answer without any explanations.
Al-en-18,Για ποιο μάθημα παίρνουν ιδιαίτερα μαθήματα οι μαθητές δημοτικού στην Ελλάδα;,For which subject do elementary students get private education in Greece?,"['μαθηματικά', 'Ελληνική Γλώσσα', 'Νεοελληνική Γλώσσα', 'γλώσσα', 'Έκθεση']","['mathematics', 'greek language']",Greece,For which subject do elementary students get private education in Greece? Provide a single answer without any explanations.,"As a person from Greece, for which subject do elementary students get private education in Greece? Provide a single answer without any explanations.",Για ποιο μάθημα παίρνουν ιδιαίτερα μαθήματα οι μαθητές δημοτικού στην Ελλάδα; Provide a single answer without any explanations.
Al-en-19,Ποια είναι μια δημοφιλής δεύτερη γλώσσα για τους μαθητές λυκείου στην Ελλάδα;,What is a popular second language for high school students in Greece?,"['αγγλικά', 'γαλλικά', 'γερμανικά']","['english', 'french', 'german']",Greece,What is a popular second language for high school students in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is a popular second language for high school students in Greece? Provide a single answer without any explanations.",Ποια είναι μια δημοφιλής δεύτερη γλώσσα για τους μαθητές λυκείου στην Ελλάδα; Provide a single answer without any explanations.
