question_id,local_question,en_question,local_answer_valid,en_answer_valid,country,control_prompts,persona_prompts,language_prompts
Al-en-01,在中国，学龄前儿童常见的零食是什么？,What is a common snack for preschool kids in China?,"['奶酪棒', '芝士棒', '水果干', '薯片', '糖果', '糖', '冰棍', '雪糕', '冰激凌', 'ad钙奶', '娃哈哈']","['cheese stick', 'dried fruit', 'potato chips', 'chips', 'sweet', 'sweets', 'candy', 'ice cream', 'ad calcium milk']",China,What is a common snack for preschool kids in China? Provide a single answer without any explanations.,"As a person from China, what is a common snack for preschool kids in China? Provide a single answer without any explanations.",在中国，学龄前儿童常见的零食是什么？ Provide a single answer without any explanations.
Al-en-02,在中国，有什么受欢迎的食物可以搭配啤酒吃？,What is a popular food to go with beer in China?,"['花生米', '花生', '炸鸡', '虾干', '干虾', '开心果', '烧鸡', '烤鸡', '烧烤', '烤串']","['peanuts', 'fried chicken', 'dried shrimp', 'pistachio', 'roast chicken', 'barbecue']",China,What is a popular food to go with beer in China? Provide a single answer without any explanations.,"As a person from China, what is a popular food to go with beer in China? Provide a single answer without any explanations.",在中国，有什么受欢迎的食物可以搭配啤酒吃？ Provide a single answer without any explanations.
Al-en-04,在中国最受欢迎的水果是什么？,What is the most popular fruit in China?,"['橘子', '苹果', '西瓜', '梨子', '梨']","['orange', 'apple', 'watermelon', 'pear']",China,What is the most popular fruit in China? Provide a single answer without any explanations.,"As a person from China, what is the most popular fruit in China? Provide a single answer without any explanations.",在中国最受欢迎的水果是什么？ Provide a single answer without any explanations.
Al-en-06,在中国的学校食堂里常见的食物是什么？,What is a common school cafeteria food in China?,"['面食', '面条', '包子', '炒菜', '白饭', '米饭', '大米饭', '麻辣香锅', '番茄炒鸡蛋', '番茄炒蛋', '西红柿炒蛋', '西红柿炒鸡蛋']","['noodles', 'cooked wheaten food', 'pasta', 'steamed bun', 'bun', 'steamed stuffed bun', 'stir-fry', 'rice', 'spicy hot pot', 'tomato scrambled eggs', 'scrambled eggs with tomatoes']",China,What is a common school cafeteria food in China? Provide a single answer without any explanations.,"As a person from China, what is a common school cafeteria food in China? Provide a single answer without any explanations.",在中国的学校食堂里常见的食物是什么？ Provide a single answer without any explanations.
Al-en-08,在中国的购物中心里，最常见的零食有哪些？,What are the most commonly eaten snacks at shopping malls in China?,"['薯片', '旺旺', '糖果', '糖', '糕点', '瓜子', '辣子条', '辣条']","['potato chips', 'chips', 'wangwang', 'sweet', 'sweets', 'candy', 'cake', 'pastry', 'sunflower seeds', 'melon seeds', 'spicy strips']",China,What are the most commonly eaten snacks at shopping malls in China? Provide a single answer without any explanations.,"As a person from China, what are the most commonly eaten snacks at shopping malls in China? Provide a single answer without any explanations.",在中国的购物中心里，最常见的零食有哪些？ Provide a single answer without any explanations.
Al-en-09,在中国的游乐园里，有什么受欢迎的小吃？,What is a popular snack at an amusement park in China?,"['棉花糖', '雪糕', '冰激凌', '冰淇淋', '轰炸大鱿鱼', '火爆鱿鱼', '水果', '淀粉肠', '冰糖葫芦']","['marshmallow', 'cotton candy', 'ice cream', 'bombing the giant squid', 'spicy stir-fried squid', 'fruit', 'starch sausage', 'sugar-coated haws', 'tanghulu', 'candied haw']",China,What is a popular snack at an amusement park in China? Provide a single answer without any explanations.,"As a person from China, what is a popular snack at an amusement park in China? Provide a single answer without any explanations.",在中国的游乐园里，有什么受欢迎的小吃？ Provide a single answer without any explanations.
Al-en-16,在中国，孩子们几岁开始上幼儿园？（只提供阿拉伯数字（例如，12）。）,"At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)","['3', '4']","['3', '4']",China,"At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","As a person from China, at what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.",在中国，孩子们几岁开始上幼儿园？（只提供阿拉伯数字（例如，12）。） Provide a single answer without any explanations.
Al-en-17,在中国小学，什么课后运动项目比较受欢迎？,What is a popular afterschool sport for elementary schools in China?,"['足球', '踢足球', '篮球', '羽毛球', '跳皮筋', '跑步']","['soccer', 'football', 'play soccer', 'play football', 'basketball', 'badminton', 'jump rope', 'rubber band skipping', 'running']",China,What is a popular afterschool sport for elementary schools in China? Provide a single answer without any explanations.,"As a person from China, what is a popular afterschool sport for elementary schools in China? Provide a single answer without any explanations.",在中国小学，什么课后运动项目比较受欢迎？ Provide a single answer without any explanations.
Al-en-18,在中国，小学生通常接受哪门学科的私立教育/课外辅导？,For which subject do elementary students get private education in China?,"['数学', '英语', '语文', '物理']","['mathematics', 'math', 'english', 'chinese', 'literature', 'physics']",China,For which subject do elementary students get private education in China? Provide a single answer without any explanations.,"As a person from China, for which subject do elementary students get private education in China? Provide a single answer without any explanations.",在中国，小学生通常接受哪门学科的私立教育/课外辅导？ Provide a single answer without any explanations.
Al-en-19,在中国，高中生普遍学习哪种第二外语？,What is a popular second language for high school students in China?,"['英语', '日语', '韩语']","['english', 'japanese', 'korean']",China,What is a popular second language for high school students in China? Provide a single answer without any explanations.,"As a person from China, what is a popular second language for high school students in China? Provide a single answer without any explanations.",在中国，高中生普遍学习哪种第二外语？ Provide a single answer without any explanations.
Al-en-21,在中国，哪个学科对于“天才班”来说最重要？,Which subject is the most important for gifted education in China?,"['数学', '计算机科学']","['mathematics', 'math', 'computer science']",China,Which subject is the most important for gifted education in China? Provide a single answer without any explanations.,"As a person from China, which subject is the most important for gifted education in China? Provide a single answer without any explanations.",在中国，哪个学科对于“天才班”来说最重要？ Provide a single answer without any explanations.
Al-en-32,在中国，感恩节的主菜是什么？,What is the main dish for Thanksgiving in China?,"['烤鸡', '鱼']","['roast chicken', 'fish']",China,What is the main dish for Thanksgiving in China? Provide a single answer without any explanations.,"As a person from China, what is the main dish for Thanksgiving in China? Provide a single answer without any explanations.",在中国，感恩节的主菜是什么？ Provide a single answer without any explanations.
Al-en-33,在中国，人们怎么庆祝万圣节前夜？,What do people do to celebrate Halloween in China?,"['聚会', '打扮']","['gathering', 'party', 'dress up']",China,What do people do to celebrate Halloween in China? Provide a single answer without any explanations.,"As a person from China, what do people do to celebrate Halloween in China? Provide a single answer without any explanations.",在中国，人们怎么庆祝万圣节前夜？ Provide a single answer without any explanations.
Al-en-34,中国人在新年当天通常会做些什么来庆祝呢？,What do people do to celebrate New Year's Day in China?,"['贴春联', '拜年', '饺子', '吃团年饭', '年夜饭', '看春晚', '踏青', '放鞭炮', '走访亲戚']","['pasting chinese couplets', 'pasting spring couplets', 'pasting new year scrolls', ""pay a new year's visit"", 'dumplings', 'have the reunion dinner', 'watch the spring festival gala', 'spring outing', 'set off firecrackers', 'visit relatives']",China,What do people do to celebrate New Year's Day in China? Provide a single answer without any explanations.,"As a person from China, what do people do to celebrate New Year's Day in China? Provide a single answer without any explanations.",中国人在新年当天通常会做些什么来庆祝呢？ Provide a single answer without any explanations.
Al-en-35,人们在中国怎样庆祝圣诞节？,What do people do to celebrate Christmas in China?,"['聚会', '购物', '送苹果', '吃大餐']","['gathering', 'party', 'shopping', 'send apples', 'have a big meal']",China,What do people do to celebrate Christmas in China? Provide a single answer without any explanations.,"As a person from China, what do people do to celebrate Christmas in China? Provide a single answer without any explanations.",人们在中国怎样庆祝圣诞节？ Provide a single answer without any explanations.
Al-en-36,在中国，什么食物与万圣节有关联？,What food is associated with Halloween in China?,['南瓜'],['pumpkin'],China,What food is associated with Halloween in China? Provide a single answer without any explanations.,"As a person from China, what food is associated with Halloween in China? Provide a single answer without any explanations.",在中国，什么食物与万圣节有关联？ Provide a single answer without any explanations.
Al-en-37,在中国，哪些食物与圣诞节有关联？,What food is associated with Christmas in China?,"['火鸡', '炸鸡', '牛排', '披萨饼', '苹果', '热红酒', '烤鸡']","['turkey', 'fried chicken', 'steak', 'pizza', 'apple', 'mulled wine', 'roast chicken']",China,What food is associated with Christmas in China? Provide a single answer without any explanations.,"As a person from China, what food is associated with Christmas in China? Provide a single answer without any explanations.",在中国，哪些食物与圣诞节有关联？ Provide a single answer without any explanations.
Al-en-38,在中国，哪些食物与情人节有关？,What food is associated with Valentine's day in China?,['巧克力'],['chocolate'],China,What food is associated with Valentine's day in China? Provide a single answer without any explanations.,"As a person from China, what food is associated with Valentine's day in China? Provide a single answer without any explanations.",在中国，哪些食物与情人节有关？ Provide a single answer without any explanations.
Al-en-39,在中国，人们在生日时通常吃什么？,What do people eat on their birthday in China?,"['生日蛋糕', '蛋糕', '长寿面', '面条', '家常菜']","['birthday cake', 'cake', 'longevity noodles', 'noodles', 'home-style cooking']",China,What do people eat on their birthday in China? Provide a single answer without any explanations.,"As a person from China, what do people eat on their birthday in China? Provide a single answer without any explanations.",在中国，人们在生日时通常吃什么？ Provide a single answer without any explanations.
Al-en-40,在中国，有哪些受欢迎的户外场所适合家庭带着小孩子去玩乐？,What is a popular outdoor place for families to have fun with little kids in China?,"['儿童公园', '公园', '游乐场', '室外游乐场']","[""children's park"", 'park', 'amusement park', 'outdoor playground']",China,What is a popular outdoor place for families to have fun with little kids in China? Provide a single answer without any explanations.,"As a person from China, what is a popular outdoor place for families to have fun with little kids in China? Provide a single answer without any explanations.",在中国，有哪些受欢迎的户外场所适合家庭带着小孩子去玩乐？ Provide a single answer without any explanations.
