question_id,local_question,en_question,local_answer_valid,en_answer_valid,country,control_prompts,persona_prompts,language_prompts
Al-en-01,Apa camilan umum untuk anak-anak TK di Indonesia?,What is a common snack for preschool kids in Indonesia?,"['choki-choki', 'coklat', 'keripik', 'telur gulung', 'wafer stik', 'momogi', 'kue cubit', 'biskuit']","['chocolate paste', 'choki-choki', 'chocolate', 'chips', 'indonesian egg roll', 'momogi', 'wafer roll', 'wafer stick', 'cubit cake', 'kue cubit', 'indonesian mini pancake', 'biscuit']",Indonesia,What is a common snack for preschool kids in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what is a common snack for preschool kids in Indonesia? Provide a single answer without any explanations.",Apa camilan umum untuk anak-anak TK di Indonesia? Provide a single answer without any explanations.
Al-en-02,Apa makanan populer yang cocok disantap bersama bir di Indonesia?,What is a popular food to go with beer in Indonesia?,"['kacang', 'ikan bakar', 'sate ayam', 'nasi goreng', 'ayam goreng', 'gorengan', 'tempe goreng', 'tempe', 'tahu goreng', 'tahu']","['peanut', 'grilled fish', 'satay', 'chicken satay', 'fried rice', 'fried chicken', 'fritters', 'tempeh', 'fried tempeh', 'tofu', 'fried tofu']",Indonesia,What is a popular food to go with beer in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what is a popular food to go with beer in Indonesia? Provide a single answer without any explanations.",Apa makanan populer yang cocok disantap bersama bir di Indonesia? Provide a single answer without any explanations.
Al-en-04,Buah apa yang paling populer di Indonesia?,What is the most popular fruit in Indonesia?,"['durian', 'mangga', 'rambutan', 'kelapa', 'pisang', 'lengkeng', 'mata kucing', 'kelengkeng', 'klengkeng']","['durian', 'mango', 'rambutan', 'coconut', 'banana', 'longan']",Indonesia,What is the most popular fruit in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what is the most popular fruit in Indonesia? Provide a single answer without any explanations.",Buah apa yang paling populer di Indonesia? Provide a single answer without any explanations.
Al-en-06,Apa makanan kantin sekolah yang umum di Indonesia?,What is a common school cafeteria food in Indonesia?,"['nasi goreng', 'mie goreng', 'mi goreng', 'roti bakar', 'nasi campur']","['fried rice', 'fried noodle', 'toast', 'mixed rice']",Indonesia,What is a common school cafeteria food in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what is a common school cafeteria food in Indonesia? Provide a single answer without any explanations.",Apa makanan kantin sekolah yang umum di Indonesia? Provide a single answer without any explanations.
Al-en-08,Apa saja camilan yang paling sering dimakan di pusat perbelanjaan di Indonesia?,What are the most commonly eaten snacks at shopping malls in Indonesia?,"['gorengan', 'kacang goreng', 'kentang goreng', 'roti', 'es krim']","['fritters', 'fried peanut', 'french fries', 'chips', 'bread', 'ice cream']",Indonesia,What are the most commonly eaten snacks at shopping malls in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what are the most commonly eaten snacks at shopping malls in Indonesia? Provide a single answer without any explanations.",Apa saja camilan yang paling sering dimakan di pusat perbelanjaan di Indonesia? Provide a single answer without any explanations.
Al-en-09,Apa camilan populer di taman hiburan di Indonesia?,What is a popular snack at an amusement park in Indonesia?,"['brondong jagung', 'popcorn', 'berondong jagung', 'popmie', 'es krim', 'gulali', 'keripik singkong', 'pisang goreng', 'kentang goreng']","['popcorn', 'instant noodle', 'popmie', 'ice cream', 'cotton candy', 'cassava chips', 'banana fritters', 'fried banana', 'french fries', 'chips']",Indonesia,What is a popular snack at an amusement park in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what is a popular snack at an amusement park in Indonesia? Provide a single answer without any explanations.",Apa camilan populer di taman hiburan di Indonesia? Provide a single answer without any explanations.
Al-en-16,"Pada usia berapa anak-anak mulai masuk taman kanak-kanak di Indonesia? (Berikan angka Arab (misalnya, 12) saja.)","At what age do kids start preschool in Indonesia? (Provide Arabic numerals (e.g., 12) only.)","['4', '5', '3']","['4', '5', '3']",Indonesia,"At what age do kids start preschool in Indonesia? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","As a person from Indonesia, at what age do kids start preschool in Indonesia? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","Pada usia berapa anak-anak mulai masuk taman kanak-kanak di Indonesia? (Berikan angka Arab (misalnya, 12) saja.) Provide a single answer without any explanations."
Al-en-17,Apa olahraga populer setelah sekolah untuk siswa sekolah dasar (SD) di Indonesia?,What is a popular afterschool sport for elementary schools in Indonesia?,"['bola basket', 'basket', 'estafet', 'sepak bola', 'bulutangkis', 'badminton', 'bulu tangkis', 'futsal']","['basketball', 'relay race', 'soccer', 'football', 'badminton', 'futsal']",Indonesia,What is a popular afterschool sport for elementary schools in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what is a popular afterschool sport for elementary schools in Indonesia? Provide a single answer without any explanations.",Apa olahraga populer setelah sekolah untuk siswa sekolah dasar (SD) di Indonesia? Provide a single answer without any explanations.
Al-en-18,Untuk mata pelajaran apa siswa sekolah dasar di Indonesia mendapatkan pendidikan privat?,For which subject do elementary students get private education in Indonesia?,"['matematika', 'bahasa inggris', 'ipa', 'sains', 'bahasa asing', 'musik', 'menggambar']","['mathematics', 'english', 'science', 'foreign language', 'music', 'art', 'drawing']",Indonesia,For which subject do elementary students get private education in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, for which subject do elementary students get private education in Indonesia? Provide a single answer without any explanations.",Untuk mata pelajaran apa siswa sekolah dasar di Indonesia mendapatkan pendidikan privat? Provide a single answer without any explanations.
Al-en-19,Apa bahasa kedua yang populer bagi siswa SMA di Indonesia?,What is a popular second language for high school students in Indonesia?,"['bahasa inggris', 'inggris', 'bahasa mandarin', 'mandarin', 'jepang', 'bahasa jepang', 'bahasa arab', 'arab', 'bahasa korea', 'korea']","['english', 'mandarin (chinese)', 'japanese', 'arabic', 'korean']",Indonesia,What is a popular second language for high school students in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what is a popular second language for high school students in Indonesia? Provide a single answer without any explanations.",Apa bahasa kedua yang populer bagi siswa SMA di Indonesia? Provide a single answer without any explanations.
