question_id,local_question,en_question,local_answer_valid,en_answer_valid,country,control_prompts,persona_prompts,language_prompts,control_output,persona_output,language_output
Al-en-01,¿Cuál es un tentempié común para niños de preescolar en España?,What is a common snack for preschool kids in Spain?,"['fruta', 'pieza de fruta', 'sandwich', 'bocadillo', 'galletas', 'zumo', 'bocadillo de jamón y queso', 'pan de pipas', 'tortas de maíz', 'barritas de cereales']","['fruit', 'piece of fruit', 'sandwich', 'cookies', 'biscuits', 'juice', 'ham and cheese sandwich', 'bread sticks', 'corn cakes', 'cereal bars']",Spain,What is a common snack for preschool kids in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is a common snack for preschool kids in Spain? Provide a single answer without any explanations.",¿Cuál es un tentempié común para niños de preescolar en España? Provide a single answer without any explanations.,Tortilla de patatas,Tortilla de patatas,Pan con tomate
Al-en-02,¿Cuál es una comida popular para acompañar la cerveza en España?,What is a popular food to go with beer in Spain?,"['tapas', 'patatas bravas', 'papas bravas', 'patatas bravas, bravas', 'patatas fritas de bolsa', 'cacahuetes', 'pincho de tortilla', 'boquerones en vinagre']","['tapas', 'spicy potatoes', 'bag of crisps', 'peanuts', 'spanish omelette', 'slice of spanish omelette', 'anchovies in vinegar']",Spain,What is a popular food to go with beer in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is a popular food to go with beer in Spain? Provide a single answer without any explanations.",¿Cuál es una comida popular para acompañar la cerveza en España? Provide a single answer without any explanations.,Patatas bravas,Patatas bravas,Patatas bravas.
Al-en-04,¿Cuál es la fruta más popular en España?,What is the most popular fruit in Spain?,"['naranja', 'melon', 'platano', 'plátano', 'sandia', 'manzana']","['orange', 'melon', 'banana', 'watermelon', 'apple']",Spain,What is the most popular fruit in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is the most popular fruit in Spain? Provide a single answer without any explanations.",¿Cuál es la fruta más popular en España? Provide a single answer without any explanations.,Orange.,Orange.,Manzana.
Al-en-06,¿Cuál es una comida común en las cafeterías escolares de España?,What is a common school cafeteria food in Spain?,"['tortilla de patatas', 'tortilla', 'croquetas', 'pollo', 'macarrones con chorizo', 'galletas', 'bolleria', 'chocolate y churros', 'bocadillo de tortilla', 'sandwich mixto']","['spanish omelette', 'croquettes', 'chicken', 'macaroni with chorizo', 'cookies', 'pastries', 'chocolate and churros', 'omelette sandwich', 'ham and cheese sandwich']",Spain,What is a common school cafeteria food in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is a common school cafeteria food in Spain? Provide a single answer without any explanations.",¿Cuál es una comida común en las cafeterías escolares de España? Provide a single answer without any explanations.,Paella.,Tortilla de patatas,Tortilla de patatas.
Al-en-08,¿Cuáles son los aperitivos más consumidos en los centros comerciales de España?,What are the most commonly eaten snacks at shopping malls in Spain?,"['patatas fritas', 'helado', 'helados', 'yogurt helado', 'tapas', 'algodón de azucar', 'aceitunas']","['french fried', 'fries', 'ice cream', 'ice creams', 'frozen yogurt', 'tapas', 'candy floss', 'cotton candy', 'olives']",Spain,What are the most commonly eaten snacks at shopping malls in Spain? Provide a single answer without any explanations.,"As a person from Spain, what are the most commonly eaten snacks at shopping malls in Spain? Provide a single answer without any explanations.",¿Cuáles son los aperitivos más consumidos en los centros comerciales de España? Provide a single answer without any explanations.,"Croquetas, churros, and chocolate con churros.","Croquetas, churros, and churros con chocolate.","Patatas fritas, churros, croquetas, empanadas, y queso con pan."
Al-en-09,¿Cuál es un aperitivo popular en un parque de atracciones en España?,What is a popular snack at an amusement park in Spain?,"['patatas fritas', 'churros', 'perritos', 'hamburguesas', 'palomitas', 'algodón de azúcar', 'chuches']","['french fries', 'churros', 'hot dogs', 'burgers', 'popcorn', 'candy floss', 'cotton candy', 'candies', 'sweets']",Spain,What is a popular snack at an amusement park in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is a popular snack at an amusement park in Spain? Provide a single answer without any explanations.",¿Cuál es un aperitivo popular en un parque de atracciones en España? Provide a single answer without any explanations.,Churros con chocolate,Churros con chocolate,Churros con chocolate.
Al-en-16,"¿A qué edad comienzan los niños el preescolar en España? (Proporciona la respuesta en números (por ejemplo, 12).)","At what age do kids start preschool in Spain? (Provide Arabic numerals (e.g., 12) only.)","['3', '4', '5']","['3', '4', '5']",Spain,"At what age do kids start preschool in Spain? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","As a person from Spain, at what age do kids start preschool in Spain? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","¿A qué edad comienzan los niños el preescolar en España? (Proporciona la respuesta en números (por ejemplo, 12).) Provide a single answer without any explanations.",1,1,3
Al-en-17,¿Cuál es un deporte extraescolar popular en la escuela primaria en España?,What is a popular afterschool sport for elementary schools in Spain?,"['fútbol', 'natación', 'baloncesto']","['soccer', 'football', 'swimming', 'basketball']",Spain,What is a popular afterschool sport for elementary schools in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is a popular afterschool sport for elementary schools in Spain? Provide a single answer without any explanations.",¿Cuál es un deporte extraescolar popular en la escuela primaria en España? Provide a single answer without any explanations.,Fútbol (Soccer),Fútbol (soccer),El fútbol es uno de los deportes extraescolares más populares en la escuela primaria en España.
Al-en-18,¿Para qué asignatura reciben educación privada los estudiantes de primaria en España?,For which subject do elementary students get private education in Spain?,"['inglés', 'matemáticas']","['english', 'mathematics', 'math']",Spain,For which subject do elementary students get private education in Spain? Provide a single answer without any explanations.,"As a person from Spain, for which subject do elementary students get private education in Spain? Provide a single answer without any explanations.",¿Para qué asignatura reciben educación privada los estudiantes de primaria en España? Provide a single answer without any explanations.,Spanish.,Math.,Educación Primaria.
Al-en-19,¿Cuál es un segundo idioma popular para los estudiantes de secundaria en España?,What is a popular second language for high school students in Spain?,"['inglés', 'catalan', 'vasco', 'euskera']","['english', 'catalan', 'basque']",Spain,What is a popular second language for high school students in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is a popular second language for high school students in Spain? Provide a single answer without any explanations.",¿Cuál es un segundo idioma popular para los estudiantes de secundaria en España? Provide a single answer without any explanations.,French.,French.,Francés.
